Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[StatsEaten6].NumberProcessed		[StatsEaten6].SampleAverage/1[min]		[StatsEatenQueue6].SampleAverage/1[min]		[StatsEaten6].SampleStandardDeviation/1[min]		[StatsAttempt6].NumberProcessed		[StatsAttempt6].SampleAverage/1[min]		[StatsAttempt6].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	1	1008.0		2.9388210537895767		9.291117058671672		0.8025595468885377		1029.0		9.32272038468504		7.099418030465634		987.0		3.106245698758975		9.685548065204546		0.854165353872014		997.0		9.675308574484712		7.368111602147639		745.0		0.7118380378914201		1.2409408003175453		0.3672703657815225		745.0		1.2409408003175453		1.041476936443414		0.0		0.0		2.0		1.0		5.0	
1	2	1027.0		3.1015106691352248		11.576649249353899		0.8290220043264921		1049.0		11.423355738209803		8.282559110216742		1007.0		2.9580803832392326		10.401203737625007		0.7653071093704334		1008.0		10.392454690814986		7.334947091519175		751.0		0.6379263567454987		1.2904949142063022		0.3004876958285138		751.0		1.2904949142063022		1.0857295932462512		0.0		0.0		1.0		0.0		4.0	
1	3	1024.0		3.0333289987712773		9.661668000986452		0.9488062283705101		1033.0		9.704997297514401		6.686954901391577		957.0		2.910743515472799		8.38097751294622		0.797951057131159		967.0		8.405347790032337		6.38110455834397		747.0		0.7831057200285045		1.9595372583366202		0.3688554635757516		747.0		1.9595372583366202		1.6622926056287555		0.0		0.0		1.0		3.0		2.0	
1	4	974.0		2.7864372848926897		7.785979764974747		0.755203441809626		991.0		7.746487955353119		5.431061619692062		960.0		3.011284676771859		8.318302352620142		0.8505467702097532		968.0		8.324300305065332		5.857905880967152		731.0		0.7204831951752466		1.0707338189252549		0.32896058053418636		731.0		1.0707338189252549		0.8048494697962351		0.0		0.0		0.0		2.0		4.0	
1	5	989.0		3.10192674837085		9.858774054498877		1.1316328728467107		1008.0		9.718124902693882		7.0387930047593805		888.0		2.8743071819803543		7.65400844971189		0.8708989750353978		904.0		7.648165379351058		6.094056987145506		737.0		0.7844279060784186		1.6473539663494177		0.41492606924888664		737.0		1.6473539663494177		1.2558327619068035		1.0		0.0		0.0		4.0		5.0	
1	6	1004.0		2.785417378698687		9.483126736352856		0.7433206668602038		1020.0		9.515510781552655		6.802372942293394		993.0		2.8806965025345503		9.271497572835578		0.8450535436084781		999.0		9.286098655341544		6.498709091066169		744.0		0.7300970487290165		1.4381965287902114		0.37449228071806784		744.0		1.4381965287902114		1.1502162178599469		0.0		0.0		1.0		2.0		4.0	
1	7	982.0		3.0317959368413216		9.625646851446389		0.8756199939410961		999.0		9.478929699783837		6.826473723822008		978.0		2.9279755578078945		8.8154690191115		0.8604453901400984		984.0		8.715039366797164		6.021806557468113		740.0		0.6145325560756346		1.0285270647267777		0.307792567494728		740.0		1.0285270647267777		0.9032859872580278		0.0		0.0		0.0		1.0		5.0	
1	8	1068.0		3.0781484502316303		9.859920443136867		0.8270455716403206		1082.0		9.848867153646191		6.739802756098181		958.0		2.9858111180917044		9.233053401895601		0.8835199649612501		977.0		9.130783645562655		6.406573813498691		741.0		0.7401213588871437		1.410016349661098		0.33576619268097363		741.0		1.410016349661098		1.1842362402154032		0.0		0.0		0.0		4.0		2.0	
1	9	897.0		2.948141192104102		8.382242375885177		0.7968952604465381		920.0		8.3863275755807		6.021550384716604		977.0		2.886947580604583		7.641201359419432		0.8794397571404644		987.0		7.5797192128173405		5.5740467734900525		752.0		0.7474587251575074		1.395332190840077		0.42283900064742946		752.0		1.395332190840077		1.145191531397151		0.0		0.0		0.0		3.0		9.0	
1	10	1049.0		2.894124165436002		8.868664431549973		0.9060984453815993		1063.0		8.796133274873194		6.121517332689485		975.0		2.816212461920846		8.25413880092974		0.7341865180388412		988.0		8.255213672833587		6.08917512050398		758.0		0.7011380045858239		1.38151180655825		0.33829798841281467		758.0		1.38151180655825		1.1139697900755139		0.0		0.0		0.0		3.0		3.0	
1	11	1018.0		3.0274301663698373		9.431735863500695		0.8404017902433144		1034.0		9.368227621487902		6.436743333781765		986.0		2.9610368247081245		9.926694089980126		0.7816881488009906		996.0		9.912024526835499		6.993617921759706		735.0		0.7388682143522455		1.4464091714044556		0.36158363932816057		735.0		1.4464091714044556		1.2668893051695695		0.0		0.0		1.0		1.0		2.0	
1	12	1021.0		3.0137590526244256		9.394602648064863		0.7834881900730644		1042.0		9.481009523394551		7.022261141207905		899.0		3.041387064922783		7.885695527354078		0.8183446583910368		917.0		7.952734300152538		5.890015939813265		730.0		0.711106999128225		1.2674075479041884		0.3432307264024576		730.0		1.2674075479041884		1.060219148039923		0.0		0.0		0.0		6.0		5.0	
1	13	1038.0		2.939554665470442		10.2713010538062		0.8134888981796026		1046.0		10.203022402630568		7.498247559282793		993.0		2.9771954369571483		9.595864469609923		0.7832003508369703		998.0		9.551409976882764		6.730735475677664		738.0		0.7103952799533607		1.3417187873128513		0.3564323045301202		738.0		1.3417187873128513		1.1118314355862942		0.0		0.0		0.0		0.0		2.0	
1	14	973.0		2.8919665521939537		9.431517577205428		0.9239392112619242		990.0		9.249479636392675		6.416226887826157		965.0		2.8395653818172475		8.341268416967871		0.907660551549069		975.0		8.249842266357541		6.009231540154862		747.0		0.6984277142170402		1.269480872223248		0.3685946380150521		747.0		1.269480872223248		1.0234241493956897		0.0		0.0		0.0		2.0		4.0	
1	15	1046.0		3.0359242733962417		10.17553658819139		0.9613187948730745		1054.0		10.09745237489116		6.763609813317934		959.0		3.0369117667165995		9.429829034299338		0.8099882391925564		968.0		9.401666441496946		6.623985424095884		732.0		0.6927822058146204		1.3606253142402427		0.31382220493854707		732.0		1.3606253142402427		1.1503386984778068		0.0		0.0		0.0		1.0		1.0	
1	16	1054.0		3.037064319258172		9.949023729027015		0.9737470497441986		1062.0		9.923041230315839		7.051922340734441		935.0		3.0670119700237306		9.147319076322937		1.0561155625113072		946.0		9.073448191596293		6.89354792061335		742.0		0.8065865854023319		1.660264463405476		0.43240833280826146		742.0		1.660264463405476		1.4256649170031954		0.0		0.0		1.0		3.0		1.0	
1	17	1060.0		2.8502896283157866		9.312869457791864		0.8319866783360165		1066.0		9.35259223201977		6.829523790822191		991.0		3.0714256952603454		10.865086663851713		0.8229521483657094		995.0		10.882323677369074		7.890556423413044		741.0		0.8194036859322392		1.3304698658716956		0.48132758304284645		741.0		1.3304698658716956		1.1341749342778131		0.0		0.0		1.0		0.0		1.0	
1	18	972.0		2.9840222148606204		9.90138004412226		0.9171077181473773		994.0		9.869422304576343		6.419783003290345		949.0		3.009579415795768		9.890011756021371		0.9463918043030095		961.0		9.828227344036401		7.200815505327975		746.0		0.6870332774921072		1.48050861000423		0.41947490459010356		746.0		1.48050861000423		1.1401113755284078		0.0		0.0		1.0		3.0		6.0	
1	19	1051.0		2.824880062608048		10.090028304666346		0.7598558879326888		1058.0		9.97061885798389		6.96965951109284		977.0		2.8463023093953654		7.413263920740669		0.8022429888082871		983.0		7.4090868961973575		5.070169679851569		739.0		0.7310879876465654		1.4267737758551908		0.4022553542963802		739.0		1.4267737758551908		1.2361515826463962		0.0		0.0		0.0		1.0		1.0	
1	20	954.0		2.8501639674675308		7.676785969250262		0.8152187587451328		974.0		7.630311006333405		5.406544474034033		988.0		3.0360309321368066		9.706476993261232		0.9267439272817447		993.0		9.679333108508587		6.755655048670661		748.0		0.6344789485152819		0.9566674429208801		0.3078127516458036		748.0		0.9566674429208801		0.823419033159522		1.0		0.0		0.0		0.0		6.0	
1	21	994.0		2.925337105164885		8.749016255004829		0.8714584236873634		1008.0		8.61382989488683		5.810825992668286		971.0		2.991834998632607		8.087654447213271		0.9361112826364029		976.0		8.042998289120595		5.6538958919756315		733.0		0.7810853337190907		1.633526976453686		0.4711970754386346		733.0		1.633526976453686		1.313651968195811		1.0		0.0		1.0		0.0		2.0	
1	22	964.0		2.993278072768232		9.280604649176734		0.8776674875937268		982.0		9.344408640489144		6.830226290267527		945.0		2.8231876912612948		9.701895215488493		0.7570896767914364		958.0		9.76096989619136		7.1444254334320325		743.0		0.6503825211287194		1.6606016260034668		0.3707166144049244		743.0		1.6606016260034668		1.3253065849444703		0.0		0.0		0.0		4.0		6.0	
1	23	981.0		2.8745370315870784		9.889200639020686		0.7459339000683579		998.0		9.839544119236018		6.914974949268305		979.0		3.035393567702022		8.350984380220217		0.8449813689388168		983.0		8.348737968288708		5.891186447371075		733.0		0.8128682670321713		1.7992328864263867		0.39756415490091146		733.0		1.7992328864263867		1.5471828309191793		0.0		0.0		0.0		1.0		4.0	
1	24	1026.0		2.870206987762528		8.33809278319667		0.757631064712127		1043.0		8.387891057868748		5.434301508225662		965.0		2.966562075512966		8.75706690634443		0.8605571354404474		975.0		8.726269227811493		6.026598099089683		745.0		0.6471122193964788		1.1810929893920898		0.3137417375286489		745.0		1.1810929893920898		0.9141238787721867		1.0		0.0		1.0		2.0		4.0	
1	25	1007.0		2.8826129175866795		8.728779554627916		0.8441236547524625		1020.0		8.592657483892342		6.061760237732003		933.0		2.950567336845489		8.231112880409425		0.8948799231639983		946.0		8.167934681255634		6.053560151611479		738.0		0.8178950657669825		1.4564395797485001		0.3567387246319058		738.0		1.4564395797485001		1.2867353801385788		0.0		0.0		0.0		3.0		3.0	
1	26	1021.0		2.9330966435041215		9.023144345407847		0.8109274160437363		1043.0		9.113855409965264		6.318667196775075		937.0		2.8199471718787463		7.752952630025074		0.7665952921066003		952.0		7.7543884660543485		5.80394170405728		746.0		0.7349115227582178		1.2338716215426937		0.38314314510833547		746.0		1.2338716215426937		1.0498827941464668		0.0		0.0		1.0		5.0		7.0	
1	27	1031.0		2.865072425921009		10.16583575492884		0.7799874274771637		1044.0		10.195023736321437		7.368485667352016		958.0		2.8514348547276644		9.077276444155304		0.7419557381000039		968.0		9.092119529750844		6.546922921613555		749.0		0.7182356079000537		1.8191925004048548		0.33250461416785243		749.0		1.8191925004048548		1.4253211968604593		0.0		0.0		0.0		3.0		3.0	
1	28	1016.0		2.898422725911503		8.976941887106278		0.8662412867705344		1034.0		8.984419547627631		6.862865553902358		1002.0		2.9436721140776902		9.874019243864067		0.8435563683031346		1006.0		9.886802132033598		6.748507953486136		751.0		0.7313906092010704		1.375438351343885		0.4155990333561709		751.0		1.375438351343885		1.1739859188879407		0.0		0.0		0.0		1.0		7.0	
1	29	980.0		3.085625206018453		9.288927665558909		0.9800456335730849		997.0		9.29740613831878		6.655335085629573		950.0		2.8898612949835325		9.798907779236645		0.7645221673893768		967.0		9.769946438067429		7.476694141924085		748.0		0.7837773246169685		1.4027722989672418		0.422450245420209		748.0		1.4027722989672418		1.1146293335267614		1.0		0.0		1.0		3.0		5.0	
